int	string
id	word
主键	屏蔽词
1678	9.13事件的真凶
1679	9.13事件真凶
1680	胡曾结盟
1681	话说江核心
1682	江胡大战
1683	江氏迫害
1684	毛太祖
1685	毛二世
1686	摆平胡锦涛
1687	暴君毛泽东
1688	毛的淫威
1689	毛魂附体
1690	毛式共惨
1691	毛式共产主义
1692	毛是个怪胎
1693	毛是中国的孤本
1694	毛外交的偏激
1695	毛一生血迹斑斑
1696	残暴毛
1697	毛泽东本人的罪恶
1698	毛泽东本人整人一流
1699	毛泽东不会放过乘乱夺权
1700	毛泽东出卖中国
1701	毛泽东处男诗
1702	毛泽东当年阳谋
1703	毛泽东党天下
1704	毛泽东得意
1705	毛泽东的肮脏历史
1706	毛泽东的卑鄙行为
1707	毛泽东的地盘
1708	毛泽东的狗屁思想
